,features,labels
70,"[2, 6657, 63, 38]",b
71,"[1, 3055, 64, 27]",a
72,"[1, 5185, 99, 75]",a
73,"[1, 4112, 45, 20]",d
74,"[1, 6575, 35, 38]",c
75,"[1, 806, 32, 0]",c
76,"[1, 5859, 22, 12]",a
77,"[2, 636, 53, 89]",b
78,"[2, 5194, 99, 68]",a
79,"[1, 631, 58, 100]",b
80,"[0, 4453, 73, 6]",a
81,"[0, 5032, 71, 11]",b
82,"[2, 1944, 70, 47]",a
83,"[1, 6637, 13, 22]",d
84,"[2, 5232, 19, 62]",d
85,"[2, 2984, 70, 90]",a
86,"[1, 6634, 96, 66]",b
87,"[2, 782, 97, 3]",b
88,"[0, 3082, 85, 45]",a
89,"[0, 2087, 71, 28]",c
90,"[0, 6298, 87, 51]",b
91,"[0, 1057, 87, 35]",d
92,"[1, 2705, 28, 48]",a
93,"[2, 4672, 82, 18]",d
94,"[1, 5465, 52, 65]",a
95,"[1, 4260, 1, 0]",d
96,"[0, 3606, 52, 67]",d
97,"[2, 2822, 100, 83]",d
98,"[1, 2244, 47, 31]",a
99,"[0, 6603, 37, 100]",b
100,"[2, 4994, 88, 54]",a
101,"[2, 1574, 71, 39]",b
102,"[1, 5004, 30, 10]",b
103,"[1, 6039, 65, 13]",c
104,"[2, 4012, 38, 48]",c
105,"[0, 4978, 33, 81]",c
106,"[2, 6075, 90, 19]",b
107,"[2, 3399, 76, 20]",a
108,"[0, 182, 7, 74]",d
109,"[2, 873, 21, 14]",c
110,"[1, 3167, 14, 37]",b
111,"[0, 5598, 36, 90]",c
112,"[2, 6139, 100, 24]",b
113,"[0, 5585, 11, 56]",d
114,"[2, 5769, 52, 86]",d
115,"[1, 1713, 22, 50]",d
116,"[1, 1244, 97, 93]",b
117,"[1, 2002, 45, 21]",c
118,"[0, 3452, 64, 1]",c
119,"[0, 2200, 87, 43]",d
120,"[2, 3938, 67, 97]",d
121,"[0, 5613, 75, 33]",d
122,"[0, 959, 20, 72]",a
123,"[2, 5408, 88, 20]",c
124,"[0, 557, 43, 38]",d
125,"[0, 389, 91, 43]",a
126,"[0, 1344, 76, 84]",c
127,"[0, 2449, 31, 23]",d
128,"[2, 5199, 75, 1]",b
129,"[1, 1326, 59, 56]",a
130,"[0, 2976, 49, 36]",a
131,"[2, 1618, 100, 18]",c
132,"[0, 3733, 10, 27]",c
133,"[2, 1634, 12, 58]",a
134,"[2, 5617, 0, 30]",d
135,"[2, 6375, 11, 52]",a
136,"[0, 6275, 20, 38]",c
137,"[2, 5671, 20, 37]",d
138,"[0, 2606, 24, 35]",d
139,"[2, 4866, 30, 51]",a
140,"[2, 2536, 31, 100]",c
141,"[0, 6794, 44, 24]",b
142,"[1, 5993, 95, 41]",a
143,"[2, 6725, 73, 65]",a
144,"[0, 1458, 38, 10]",c
145,"[1, 4108, 81, 60]",c
146,"[2, 6352, 70, 50]",a
147,"[0, 190, 3, 61]",c
148,"[1, 3596, 29, 70]",c
149,"[0, 5633, 4, 75]",a
150,"[2, 6112, 18, 79]",b
151,"[2, 6105, 62, 73]",b
152,"[0, 2610, 69, 54]",b
153,"[2, 268, 86, 29]",c
154,"[1, 158, 16, 94]",b
155,"[0, 4226, 68, 100]",b
156,"[2, 27, 56, 94]",d
157,"[0, 2232, 89, 3]",d
158,"[2, 4320, 92, 99]",b
159,"[0, 4513, 78, 60]",a
160,"[1, 6479, 28, 15]",d
161,"[2, 1675, 71, 15]",d
162,"[2, 3083, 51, 64]",b
163,"[0, 7108, 24, 32]",a
164,"[0, 3782, 71, 34]",b
165,"[2, 4909, 17, 58]",d
166,"[1, 5751, 1, 85]",a
167,"[1, 7039, 68, 39]",d
168,"[2, 5078, 100, 6]",d
169,"[1, 4006, 57, 34]",b
170,"[2, 1428, 34, 20]",b
171,"[1, 5811, 23, 72]",c
172,"[2, 4945, 22, 61]",a
173,"[2, 1908, 92, 36]",d
174,"[2, 4024, 98, 71]",a
175,"[2, 146, 39, 40]",d
176,"[0, 3762, 72, 2]",c
177,"[2, 6184, 41, 97]",d
178,"[1, 5755, 82, 11]",d
179,"[1, 227, 34, 44]",a
180,"[2, 1683, 73, 57]",b
181,"[1, 5105, 89, 76]",c
182,"[0, 2542, 1, 10]",a
183,"[0, 4691, 15, 47]",d
184,"[2, 6259, 67, 13]",a
185,"[1, 6929, 75, 69]",d
186,"[0, 197, 46, 54]",a
187,"[1, 3667, 5, 76]",b
188,"[0, 246, 81, 80]",b
189,"[2, 2813, 79, 83]",b
190,"[1, 5036, 20, 100]",d
191,"[0, 1320, 92, 94]",d
192,"[2, 6563, 2, 5]",b
193,"[0, 5304, 76, 48]",c
194,"[1, 3869, 90, 73]",b
195,"[1, 181, 95, 4]",c
196,"[0, 1842, 71, 67]",b
197,"[2, 3225, 13, 19]",d
198,"[1, 2626, 74, 11]",a
199,"[0, 4348, 46, 51]",d
200,"[2, 3874, 96, 43]",a
201,"[0, 4441, 15, 12]",b
202,"[1, 810, 91, 21]",b
203,"[2, 430, 2, 30]",d
204,"[0, 7130, 0, 56]",a
205,"[2, 7091, 66, 78]",c
206,"[0, 3544, 13, 12]",d
207,"[2, 4537, 90, 7]",a
208,"[2, 4952, 11, 18]",c
209,"[1, 788, 42, 70]",c
210,"[2, 476, 6, 15]",d
211,"[2, 1109, 90, 7]",c
212,"[2, 2957, 58, 76]",b
213,"[2, 5567, 7, 86]",c
214,"[0, 5300, 3, 54]",b
215,"[0, 4665, 63, 42]",c
216,"[1, 5157, 56, 31]",d
217,"[2, 4495, 41, 56]",c
218,"[2, 6697, 77, 99]",b
219,"[0, 832, 23, 37]",a
220,"[1, 1388, 18, 22]",c
221,"[1, 3889, 57, 98]",b
222,"[1, 1041, 32, 88]",d
223,"[2, 3285, 75, 67]",a
224,"[0, 4495, 24, 99]",c
225,"[0, 1072, 7, 90]",c
226,"[2, 112, 93, 16]",d
227,"[1, 2926, 4, 65]",d
228,"[1, 4804, 85, 74]",c
229,"[1, 2378, 18, 67]",a
230,"[2, 3758, 61, 47]",b
231,"[2, 2261, 78, 18]",c
232,"[0, 3475, 73, 98]",b
233,"[2, 134, 36, 34]",a
234,"[0, 557, 85, 1]",b
235,"[2, 2211, 85, 23]",d
236,"[1, 2702, 38, 40]",c
237,"[0, 6334, 45, 18]",c
238,"[0, 5267, 8, 22]",c
239,"[2, 4584, 36, 88]",a
240,"[1, 3572, 58, 33]",d
241,"[1, 320, 13, 5]",c
242,"[1, 7163, 75, 47]",a
243,"[1, 2185, 38, 32]",a
244,"[2, 3479, 28, 25]",b
245,"[2, 4367, 78, 39]",b
246,"[0, 3866, 81, 61]",b
247,"[1, 3928, 90, 61]",b
248,"[0, 1462, 34, 7]",b
249,"[0, 2340, 78, 82]",c
250,"[1, 647, 52, 48]",c
251,"[0, 3295, 42, 87]",d
252,"[1, 5707, 97, 9]",a
253,"[0, 3019, 86, 91]",a
254,"[2, 1315, 48, 27]",d
255,"[2, 374, 97, 49]",c
256,"[1, 1048, 31, 24]",c
257,"[2, 3164, 33, 41]",c
258,"[2, 4240, 66, 31]",b
259,"[1, 6629, 73, 21]",d
260,"[2, 5051, 36, 59]",d
261,"[0, 4092, 36, 24]",c
262,"[0, 2328, 70, 91]",c
263,"[0, 2641, 38, 85]",d
264,"[1, 6569, 12, 62]",d
265,"[2, 5708, 54, 89]",c
266,"[1, 1765, 79, 52]",b
267,"[2, 6859, 56, 30]",d
268,"[0, 1250, 66, 75]",b
269,"[1, 7086, 75, 87]",c
270,"[2, 1769, 44, 10]",d
271,"[2, 4963, 80, 11]",c
272,"[1, 347, 0, 92]",a
273,"[0, 11, 78, 52]",a
274,"[0, 194, 52, 36]",a
275,"[1, 509, 23, 19]",b
276,"[0, 3298, 60, 16]",d
277,"[0, 6853, 36, 57]",b
278,"[0, 2406, 25, 3]",a
279,"[0, 127, 33, 61]",a
280,"[0, 298, 3, 28]",d
281,"[2, 5682, 99, 73]",c
282,"[2, 3705, 30, 29]",b
283,"[1, 5008, 87, 71]",a
284,"[0, 986, 48, 47]",d
285,"[0, 2524, 19, 94]",d
286,"[0, 6919, 4, 98]",b
287,"[1, 2792, 52, 55]",d
288,"[2, 280, 23, 56]",b
289,"[1, 1961, 86, 87]",d
290,"[1, 4938, 50, 97]",c
291,"[2, 7183, 21, 64]",a
292,"[2, 4712, 24, 78]",c
293,"[0, 6141, 99, 12]",b
294,"[2, 5409, 74, 65]",b
295,"[1, 249, 86, 52]",c
296,"[1, 5104, 36, 5]",b
297,"[1, 5331, 77, 18]",a
298,"[2, 5672, 68, 85]",a
299,"[1, 1450, 2, 75]",c
300,"[0, 1711, 20, 26]",a
301,"[2, 2543, 68, 28]",a
302,"[1, 6142, 80, 96]",d
303,"[2, 2864, 11, 81]",a
304,"[1, 4541, 11, 82]",c
305,"[1, 6405, 99, 41]",a
306,"[1, 3781, 94, 34]",b
307,"[1, 1409, 72, 8]",b
308,"[1, 4327, 100, 88]",c
309,"[1, 1716, 57, 3]",d
310,"[2, 2788, 14, 61]",d
311,"[2, 4716, 27, 99]",d
312,"[1, 6319, 69, 72]",b
313,"[2, 5738, 71, 68]",c
314,"[2, 5732, 24, 37]",d
315,"[2, 6519, 19, 64]",c
316,"[0, 6448, 86, 89]",d
317,"[2, 1099, 67, 0]",b
318,"[0, 5938, 21, 2]",d
319,"[0, 6317, 75, 99]",d
320,"[0, 2905, 28, 52]",b
321,"[2, 5991, 3, 37]",a
322,"[1, 4821, 91, 25]",b
323,"[1, 446, 68, 97]",b
324,"[1, 5697, 33, 17]",a
325,"[2, 666, 28, 17]",b
326,"[1, 287, 14, 44]",b
327,"[2, 3778, 82, 59]",c
328,"[2, 1351, 52, 95]",d
329,"[0, 6243, 65, 15]",d
330,"[1, 3812, 19, 26]",a
331,"[2, 417, 68, 1]",c
332,"[2, 7093, 90, 25]",b
333,"[2, 4788, 95, 53]",b
334,"[0, 6735, 87, 88]",b
335,"[1, 1205, 55, 15]",a
336,"[1, 6099, 10, 24]",c
337,"[1, 167, 5, 76]",d
338,"[2, 5765, 58, 84]",c
339,"[2, 2480, 41, 29]",d
340,"[0, 3684, 83, 62]",b
341,"[1, 3188, 27, 27]",b
342,"[2, 6838, 53, 2]",c
343,"[0, 1765, 33, 20]",d
344,"[1, 6342, 20, 84]",a
345,"[2, 2253, 33, 16]",b
346,"[2, 5855, 84, 62]",b
347,"[1, 1450, 48, 96]",c
348,"[1, 199, 20, 78]",b
349,"[0, 6929, 15, 48]",a
350,"[2, 2829, 65, 74]",c
351,"[2, 6556, 21, 15]",b
352,"[2, 4763, 93, 2]",d
353,"[0, 1796, 40, 28]",d
354,"[1, 7103, 47, 62]",b
355,"[1, 2503, 72, 95]",b
356,"[1, 6192, 52, 73]",b
357,"[2, 4563, 79, 20]",a
358,"[1, 7016, 91, 30]",c
359,"[0, 1467, 100, 35]",b
360,"[2, 4734, 2, 32]",c
361,"[1, 91, 32, 50]",d
362,"[1, 5133, 70, 21]",d
363,"[0, 1765, 35, 59]",b
364,"[2, 40, 72, 53]",d
365,"[0, 1777, 46, 35]",b
366,"[1, 2461, 55, 86]",a
367,"[1, 4840, 10, 98]",b
368,"[2, 5684, 49, 29]",d
369,"[1, 6732, 58, 87]",a
370,"[0, 592, 78, 34]",d
371,"[0, 1849, 55, 4]",c
372,"[1, 4777, 15, 96]",a
373,"[0, 5512, 21, 26]",b
374,"[1, 2523, 54, 56]",a
375,"[0, 1003, 42, 89]",b
376,"[0, 3632, 66, 64]",d
377,"[2, 5581, 23, 35]",a
378,"[1, 5644, 58, 84]",a
379,"[2, 6623, 44, 98]",a
380,"[2, 2204, 85, 16]",d
381,"[1, 4581, 11, 54]",d
382,"[2, 4738, 99, 25]",a
383,"[2, 1598, 54, 84]",c
384,"[0, 1320, 37, 87]",b
385,"[0, 7022, 57, 48]",b
386,"[2, 4542, 7, 43]",d
387,"[2, 477, 32, 0]",d
388,"[2, 667, 14, 44]",c
389,"[0, 6881, 75, 14]",c
390,"[1, 5317, 94, 55]",a
391,"[2, 459, 83, 20]",b
392,"[0, 936, 24, 68]",a
393,"[2, 2443, 10, 69]",b
394,"[0, 1701, 6, 61]",a
395,"[0, 5486, 0, 79]",b
396,"[0, 4095, 99, 54]",d
397,"[1, 3931, 30, 52]",a
398,"[0, 2985, 25, 65]",b
399,"[1, 4832, 21, 36]",b
400,"[1, 5274, 30, 15]",a
401,"[2, 2055, 68, 77]",b
402,"[2, 4870, 32, 70]",a
403,"[1, 2384, 7, 89]",b
404,"[2, 1599, 33, 37]",b
405,"[1, 2221, 34, 87]",c
406,"[1, 6485, 82, 11]",c
407,"[2, 1589, 51, 62]",a
408,"[0, 1088, 27, 72]",b
409,"[2, 3825, 44, 36]",b
410,"[1, 5087, 47, 73]",b
411,"[2, 4775, 41, 74]",b
412,"[1, 5819, 21, 81]",d
413,"[0, 1755, 16, 34]",c
414,"[1, 4881, 89, 32]",b
415,"[0, 6055, 64, 41]",c
416,"[1, 327, 59, 18]",b
417,"[0, 1510, 88, 21]",d
418,"[2, 5500, 98, 6]",d
419,"[1, 2972, 46, 0]",b
420,"[2, 287, 48, 37]",c
421,"[2, 3243, 35, 33]",d
422,"[0, 718, 76, 43]",b
423,"[2, 1016, 22, 84]",d
424,"[2, 2317, 32, 31]",b
425,"[0, 6637, 9, 78]",a
426,"[1, 1902, 7, 35]",d
427,"[0, 3698, 16, 29]",b
428,"[2, 1147, 81, 71]",d
429,"[0, 4044, 25, 46]",a
430,"[1, 920, 97, 3]",b
431,"[2, 2406, 50, 98]",d
432,"[0, 2813, 3, 49]",b
433,"[2, 468, 26, 13]",b
434,"[1, 6180, 14, 42]",c
435,"[0, 6599, 67, 15]",b
436,"[1, 4706, 3, 37]",a
437,"[1, 3205, 93, 86]",a
438,"[0, 1472, 84, 52]",d
439,"[2, 832, 45, 48]",c
440,"[0, 3775, 89, 15]",b
441,"[0, 7104, 28, 47]",c
442,"[1, 2001, 10, 38]",c
443,"[1, 3147, 44, 41]",d
444,"[0, 4745, 100, 95]",d
445,"[1, 3561, 51, 31]",a
446,"[1, 1301, 20, 62]",a
447,"[0, 5789, 91, 77]",b
448,"[0, 3671, 89, 64]",c
449,"[0, 2731, 12, 11]",d
450,"[0, 4430, 64, 56]",c
451,"[2, 2169, 19, 27]",c
452,"[0, 2311, 19, 35]",a
453,"[1, 536, 29, 98]",a
454,"[1, 2644, 45, 10]",c
455,"[0, 819, 70, 21]",b
456,"[2, 3802, 97, 81]",b
457,"[0, 3351, 37, 95]",b
458,"[2, 437, 22, 77]",b
459,"[1, 2581, 44, 64]",c
460,"[1, 2889, 74, 6]",a
461,"[1, 3493, 91, 99]",b
462,"[0, 5030, 21, 46]",c
463,"[0, 804, 7, 11]",a
464,"[0, 2153, 83, 39]",c
465,"[0, 292, 82, 61]",c
466,"[1, 6247, 90, 6]",b
467,"[1, 6558, 98, 1]",d
468,"[1, 98, 5, 13]",a
469,"[1, 2737, 69, 82]",a
470,"[0, 5364, 18, 44]",c
471,"[1, 5914, 87, 5]",d
472,"[0, 6165, 32, 39]",a
473,"[1, 495, 42, 3]",a
474,"[0, 2909, 11, 48]",c
475,"[1, 1901, 74, 80]",d
476,"[1, 1284, 86, 1]",b
477,"[1, 669, 3, 61]",a
478,"[1, 163, 91, 89]",d
479,"[2, 1114, 6, 66]",c
480,"[2, 3761, 84, 79]",d
481,"[0, 976, 91, 83]",a
482,"[2, 2781, 60, 15]",d
483,"[1, 4085, 62, 78]",a
484,"[1, 1114, 52, 73]",a
485,"[1, 777, 71, 59]",a
486,"[1, 835, 83, 44]",a
487,"[1, 4361, 36, 56]",a
488,"[0, 2129, 60, 79]",a
489,"[2, 2118, 7, 88]",d
490,"[0, 167, 32, 19]",d
491,"[0, 3499, 13, 35]",d
492,"[2, 5792, 87, 2]",c
493,"[2, 3597, 75, 62]",a
494,"[2, 4938, 33, 21]",c
495,"[2, 8, 55, 81]",b
496,"[0, 5321, 71, 4]",d
497,"[0, 2467, 87, 62]",c
498,"[0, 2948, 84, 3]",b
499,"[0, 4405, 63, 89]",b
500,"[0, 910, 6, 13]",c
501,"[0, 6298, 85, 30]",d
502,"[2, 2538, 37, 49]",a
503,"[1, 5318, 55, 55]",a
504,"[1, 2087, 24, 80]",a
505,"[2, 1713, 39, 57]",a
506,"[1, 6707, 79, 2]",c
507,"[1, 4991, 47, 8]",a
508,"[2, 3369, 46, 100]",b
509,"[0, 4862, 81, 30]",d
510,"[1, 6506, 75, 96]",a
511,"[1, 291, 34, 76]",d
512,"[0, 947, 48, 76]",b
513,"[0, 3984, 68, 54]",b
514,"[2, 3608, 11, 46]",a
515,"[1, 6480, 6, 54]",c
516,"[0, 1526, 68, 13]",b
517,"[0, 2714, 85, 25]",a
518,"[1, 6396, 78, 0]",c
519,"[1, 4922, 2, 80]",c
520,"[2, 4906, 77, 8]",b
521,"[1, 205, 47, 10]",d
522,"[1, 4052, 84, 98]",d
523,"[0, 334, 19, 0]",c
524,"[0, 3661, 81, 12]",d
525,"[2, 2229, 79, 56]",a
526,"[2, 7166, 19, 5]",c
527,"[2, 5631, 15, 56]",c
528,"[0, 324, 74, 60]",a
529,"[0, 4345, 68, 94]",b
530,"[1, 5696, 99, 43]",d
531,"[2, 2861, 48, 79]",a
532,"[2, 1634, 87, 75]",b
533,"[0, 3424, 57, 72]",b
534,"[0, 2806, 77, 3]",d
535,"[1, 2810, 95, 62]",b
536,"[0, 2998, 21, 5]",a
537,"[2, 2316, 69, 44]",a
538,"[0, 548, 94, 8]",b
539,"[2, 1320, 41, 35]",c
540,"[1, 7079, 81, 15]",b
541,"[0, 3553, 64, 7]",d
542,"[1, 4432, 66, 53]",c
543,"[2, 2601, 26, 57]",d
544,"[2, 5490, 75, 42]",b
545,"[0, 3565, 68, 82]",c
546,"[2, 2033, 80, 32]",c
547,"[0, 2414, 80, 64]",d
548,"[1, 4987, 82, 93]",a
549,"[2, 5555, 44, 41]",d
550,"[0, 6834, 12, 58]",d
551,"[2, 1150, 95, 86]",b
552,"[2, 2740, 11, 98]",b
553,"[1, 5778, 30, 45]",b
554,"[2, 2319, 21, 22]",a
555,"[1, 2925, 64, 11]",c
556,"[1, 6685, 52, 41]",b
557,"[1, 1021, 2, 26]",c
558,"[1, 5613, 86, 15]",d
559,"[2, 4481, 51, 27]",b
560,"[2, 1774, 66, 78]",b
561,"[1, 5556, 52, 63]",b
562,"[2, 3635, 61, 1]",c
563,"[0, 1250, 27, 90]",d
564,"[1, 4414, 54, 97]",c
565,"[1, 1421, 92, 99]",d
566,"[2, 6340, 58, 18]",d
567,"[0, 5502, 44, 65]",b
568,"[1, 5376, 98, 14]",d
569,"[2, 886, 79, 45]",a
570,"[1, 1889, 95, 93]",c
571,"[1, 2251, 2, 13]",a
572,"[0, 3897, 40, 22]",a
573,"[0, 4302, 89, 15]",d
574,"[2, 4307, 45, 23]",a
575,"[0, 4629, 19, 7]",a
576,"[0, 1300, 79, 59]",d
577,"[1, 4699, 55, 25]",b
578,"[0, 425, 55, 41]",d
579,"[2, 828, 81, 27]",b
580,"[2, 4489, 66, 50]",c
581,"[1, 611, 43, 98]",b
582,"[0, 1409, 41, 91]",b
583,"[1, 5902, 19, 43]",c
584,"[2, 3133, 90, 46]",b
585,"[1, 5333, 91, 0]",a
586,"[0, 4477, 43, 68]",a
587,"[0, 4478, 97, 40]",a
588,"[1, 1914, 75, 4]",d
589,"[0, 4378, 95, 63]",b
590,"[1, 5945, 78, 22]",c
591,"[0, 3867, 34, 86]",b
592,"[2, 6086, 81, 84]",c
593,"[2, 6441, 61, 40]",a
594,"[2, 4838, 59, 67]",a
595,"[2, 4131, 98, 48]",a
596,"[1, 3587, 60, 47]",d
597,"[2, 5520, 7, 96]",b
598,"[2, 2997, 42, 25]",a
599,"[2, 7165, 65, 93]",c
600,"[2, 6966, 83, 95]",a
601,"[1, 1992, 84, 41]",c
602,"[2, 3018, 78, 66]",a
603,"[0, 4622, 35, 82]",d
604,"[1, 5226, 28, 59]",d
605,"[2, 4287, 81, 33]",c
606,"[2, 5383, 83, 80]",c
607,"[1, 740, 22, 69]",d
608,"[2, 1453, 11, 21]",c
609,"[1, 129, 74, 51]",c
610,"[1, 774, 24, 100]",a
611,"[1, 5919, 90, 75]",a
612,"[1, 3652, 91, 29]",a
613,"[1, 4152, 47, 48]",d
614,"[2, 2690, 54, 18]",a
615,"[0, 5621, 53, 75]",a
616,"[0, 649, 88, 100]",b
617,"[2, 2825, 95, 59]",a
618,"[1, 2117, 57, 61]",c
619,"[1, 579, 76, 46]",c
620,"[1, 2294, 64, 13]",c
621,"[0, 4811, 97, 90]",c
622,"[0, 1193, 47, 84]",c
623,"[0, 4518, 1, 71]",b
624,"[0, 1717, 63, 85]",d
625,"[1, 2574, 89, 30]",b
626,"[0, 2979, 47, 33]",b
627,"[2, 2679, 66, 33]",c
628,"[1, 3765, 25, 66]",c
629,"[2, 937, 15, 48]",c
630,"[2, 6277, 90, 38]",b
631,"[1, 5219, 33, 59]",b
632,"[1, 1221, 39, 97]",d
633,"[1, 4815, 91, 40]",d
634,"[0, 6036, 95, 42]",d
635,"[2, 3106, 24, 90]",d
636,"[1, 1336, 59, 15]",c
637,"[0, 2267, 75, 51]",b
638,"[2, 5768, 72, 46]",a
639,"[0, 2883, 36, 71]",d
640,"[1, 3114, 3, 16]",b
641,"[1, 2018, 29, 46]",d
642,"[2, 4732, 19, 15]",b
643,"[2, 509, 7, 90]",d
644,"[2, 80, 9, 49]",a
645,"[2, 1157, 98, 4]",a
646,"[0, 5484, 17, 46]",b
647,"[0, 2494, 68, 98]",a
648,"[0, 6931, 0, 70]",c
649,"[0, 5459, 0, 69]",d
650,"[1, 1596, 41, 51]",c
651,"[2, 1176, 16, 78]",c
652,"[2, 2785, 28, 11]",d
653,"[0, 3848, 1, 42]",b
654,"[1, 3429, 9, 89]",a
655,"[0, 6770, 25, 88]",a
656,"[1, 6161, 55, 82]",a
657,"[1, 4434, 58, 40]",d
658,"[0, 4796, 77, 72]",c
659,"[0, 6728, 37, 29]",c
660,"[2, 4970, 58, 29]",a
661,"[0, 497, 79, 64]",b
662,"[1, 3881, 90, 4]",d
663,"[0, 1864, 48, 77]",c
664,"[0, 3775, 50, 4]",d
665,"[1, 3117, 27, 5]",d
666,"[1, 3248, 0, 70]",a
667,"[1, 6585, 95, 72]",a
668,"[0, 2772, 85, 50]",d
669,"[1, 2336, 67, 87]",c
670,"[2, 4245, 90, 38]",d
671,"[1, 5981, 66, 62]",b
672,"[2, 6187, 53, 44]",b
673,"[1, 5148, 36, 17]",c
674,"[1, 5858, 64, 86]",d
675,"[2, 6338, 89, 82]",a
676,"[2, 7151, 7, 97]",c
677,"[0, 272, 51, 20]",c
678,"[2, 3471, 51, 37]",c
679,"[0, 376, 0, 81]",c
680,"[2, 6637, 17, 54]",a
681,"[2, 7192, 33, 97]",b
682,"[1, 5812, 65, 87]",d
683,"[0, 440, 1, 66]",a
684,"[0, 3383, 27, 10]",d
685,"[2, 5731, 50, 66]",a
686,"[1, 2746, 65, 60]",c
687,"[2, 2340, 6, 96]",d
688,"[0, 653, 87, 85]",a
689,"[0, 1908, 57, 34]",d
690,"[1, 4802, 37, 46]",c
691,"[0, 5375, 57, 66]",d
692,"[0, 909, 60, 27]",a
693,"[0, 4808, 20, 31]",d
694,"[1, 1882, 76, 4]",c
695,"[1, 2082, 82, 94]",b
696,"[0, 4976, 99, 2]",c
697,"[0, 7109, 66, 35]",b
698,"[1, 1737, 85, 91]",b
699,"[0, 888, 33, 93]",a
700,"[1, 2211, 1, 1]",d
701,"[2, 2463, 6, 73]",b
702,"[2, 3512, 34, 31]",a
703,"[1, 3089, 25, 16]",d
704,"[2, 1948, 54, 2]",b
705,"[1, 397, 33, 45]",c
706,"[0, 1058, 29, 54]",d
707,"[2, 4631, 43, 21]",b
708,"[2, 4334, 63, 37]",a
709,"[0, 6951, 26, 56]",b
710,"[1, 6874, 90, 60]",c
711,"[2, 1779, 63, 79]",c
712,"[2, 4985, 77, 43]",c
713,"[0, 5594, 28, 61]",d
714,"[0, 1916, 16, 96]",c
715,"[2, 3139, 38, 37]",c
716,"[0, 5949, 23, 43]",a
717,"[1, 1283, 75, 85]",c
718,"[0, 2591, 95, 44]",a
719,"[0, 1311, 86, 59]",b
720,"[0, 1470, 27, 18]",a
721,"[0, 4831, 55, 43]",a
722,"[1, 999, 49, 10]",c
723,"[0, 2967, 20, 37]",d
724,"[2, 3587, 100, 64]",a
725,"[0, 4432, 66, 84]",b
726,"[1, 7037, 75, 99]",a
727,"[1, 3493, 61, 96]",d
728,"[1, 1603, 14, 88]",c
729,"[2, 3238, 2, 77]",d
730,"[1, 4410, 80, 85]",a
731,"[2, 4082, 56, 15]",c
732,"[0, 22, 77, 78]",d
733,"[0, 6354, 0, 51]",a
734,"[2, 3613, 64, 70]",b
735,"[2, 6900, 77, 12]",c
736,"[2, 5751, 16, 44]",a
737,"[0, 6755, 73, 32]",a
738,"[1, 384, 39, 45]",b
739,"[2, 1960, 2, 62]",a
740,"[0, 4019, 90, 40]",d
741,"[2, 5952, 75, 39]",c
